time_s,err_KF,err_EKF,err_PF
0.000,1.0000,1.0000,1.0000
0.020,0.2682,0.2678,0.2754
0.040,0.4977,0.4967,0.1799
0.060,0.3588,0.3594,0.1606
0.080,0.4426,0.4423,0.2004
0.100,0.3949,0.3955,0.1784
0.120,0.3579,0.3590,0.1659
0.140,0.3614,0.3617,0.1572
0.160,0.3765,0.3756,0.1771
0.180,0.3551,0.3560,0.1381
0.200,0.3448,0.3460,0.1568
0.220,0.3629,0.3631,0.1397
0.240,0.3770,0.3752,0.1467
0.260,0.3767,0.3752,0.1463
0.280,0.3694,0.3693,0.1461
0.300,0.3663,0.3638,0.1517
0.320,0.3544,0.3509,0.1972
0.340,0.3574,0.3537,0.1937
0.360,0.3510,0.3524,0.2122
0.380,0.3417,0.3441,0.1975
0.400,0.3350,0.3387,0.1871
0.420,0.3351,0.3399,0.1762
0.440,0.3314,0.3370,0.1934
0.460,0.3348,0.3400,0.1873
0.480,0.3419,0.3446,0.2056
0.500,0.3556,0.3529,0.2056
0.520,0.3718,0.3631,0.2012
0.540,0.3455,0.3407,0.1944
0.560,0.3481,0.3407,0.1964
0.580,0.3448,0.3405,0.1932
0.600,0.3368,0.3341,0.1999
0.620,0.3334,0.3339,0.1998
0.640,0.3431,0.3477,0.2039
0.660,0.3357,0.3350,0.2075
0.680,0.3340,0.3345,0.2055
0.700,0.3310,0.3310,0.2022
0.720,0.3406,0.3386,0.1949
0.740,0.3440,0.3410,0.1824
0.760,0.3411,0.3396,0.1870
0.780,0.3464,0.3443,0.1860
0.800,0.3540,0.3502,0.1860
0.820,0.3634,0.3555,0.1936
0.840,0.3510,0.3468,0.1880
0.860,0.3475,0.3435,0.1751
0.880,0.3408,0.3386,0.1784
0.900,0.3433,0.3405,0.1722
0.920,0.3454,0.3422,0.1851
0.940,0.3411,0.3374,0.1591
0.960,0.3357,0.3340,0.1646
0.980,0.3260,0.3221,0.1769
1.000,0.3426,0.3383,0.1674
1.020,0.3201,0.3177,0.2021
1.040,0.3133,0.3110,0.1784
1.060,0.3104,0.3132,0.1898
1.080,0.3138,0.3137,0.1848
1.100,0.3099,0.3079,0.1670
1.120,0.3063,0.3035,0.1648
1.140,0.3070,0.3040,0.1956
1.160,0.3183,0.3121,0.1714
1.180,0.3214,0.3176,0.2056
1.200,0.3139,0.3119,0.2022
1.220,0.3068,0.3068,0.2120
1.240,0.3093,0.3076,0.2106
1.260,0.3022,0.3016,0.2043
1.280,0.3006,0.3010,0.2064
1.300,0.3063,0.3047,0.1979
1.320,0.3063,0.3058,0.1894
1.340,0.3016,0.3007,0.1700
1.360,0.2995,0.2996,0.1673
1.380,0.3016,0.3043,0.1812
1.400,0.3030,0.3071,0.1888
1.420,0.3063,0.3065,0.1871
1.440,0.3012,0.3024,0.1609
1.460,0.3019,0.3047,0.1844
1.480,0.2983,0.3018,0.1469
1.500,0.2994,0.3051,0.1764
1.520,0.3001,0.3032,0.1778
1.540,0.2991,0.3030,0.1910
1.560,0.2956,0.2989,0.1986
1.580,0.2932,0.2979,0.2023
1.600,0.2953,0.3031,0.2031
1.620,0.2914,0.2981,0.2035
1.640,0.2874,0.2929,0.2059
1.660,0.2936,0.2992,0.2037
1.680,0.3034,0.3072,0.2016
1.700,0.2927,0.3002,0.2035
1.720,0.2943,0.3014,0.2047
1.740,0.2851,0.2942,0.2060
1.760,0.2835,0.2916,0.2059
1.780,0.2810,0.2909,0.2055
1.800,0.2851,0.2946,0.2046
1.820,0.2782,0.2888,0.2012
1.840,0.2825,0.2913,0.2024
1.860,0.2927,0.2959,0.2015
1.880,0.3009,0.3015,0.1979
1.900,0.2893,0.2958,0.1962
1.920,0.2981,0.2999,0.1978
1.940,0.3146,0.3127,0.1997
1.960,0.3153,0.3131,0.1969
1.980,0.3127,0.3121,0.1976
2.000,0.3056,0.3058,0.1990
2.020,0.2973,0.2992,0.1988
2.040,0.2804,0.2870,0.1985
2.060,0.2800,0.2841,0.1932
2.080,0.2892,0.2847,0.1941
2.100,0.2990,0.2974,0.1934
2.120,0.2998,0.2978,0.1940
2.140,0.3253,0.3146,0.1951
2.160,0.3252,0.3157,0.1975
2.180,0.3390,0.3240,0.1999
2.200,0.3346,0.3209,0.1983
2.220,0.3367,0.3250,0.1974
2.240,0.3259,0.3153,0.1979
2.260,0.3203,0.3116,0.1961
2.280,0.3316,0.3199,0.1906
2.300,0.3302,0.3180,0.1903
2.320,0.3341,0.3196,0.1916
2.340,0.3377,0.3231,0.1869
2.360,0.3332,0.3200,0.1854
2.380,0.3420,0.3263,0.1857
2.400,0.3455,0.3281,0.1793
2.420,0.3599,0.3383,0.1779
2.440,0.3437,0.3298,0.1715
2.460,0.3511,0.3343,0.1706
2.480,0.3347,0.3206,0.1696
2.500,0.3420,0.3237,0.1680
2.520,0.3370,0.3205,0.1685
2.540,0.3418,0.3241,0.1689
2.560,0.3416,0.3244,0.1665
2.580,0.3405,0.3252,0.1665
2.600,0.3410,0.3245,0.1667
2.620,0.3497,0.3291,0.1684
2.640,0.3570,0.3316,0.1743
2.660,0.3592,0.3362,0.1721
2.680,0.3547,0.3337,0.1712
2.700,0.3525,0.3330,0.1687
2.720,0.3144,0.3053,0.1647
2.740,0.3032,0.2955,0.1653
2.760,0.3062,0.2869,0.1623
2.780,0.3095,0.2971,0.1628
2.800,0.3280,0.3112,0.1625
2.820,0.3542,0.3273,0.1636
2.840,0.3597,0.3333,0.1683
2.860,0.3183,0.3093,0.1660
2.880,0.3065,0.2996,0.1661
2.900,0.2953,0.2922,0.1653
2.920,0.2904,0.2875,0.1672
2.940,0.2939,0.2913,0.1672
2.960,0.2987,0.2936,0.1670
2.980,0.2930,0.2883,0.1705
3.000,0.2989,0.2911,0.1695
3.020,0.2887,0.2826,0.1695
3.040,0.2899,0.2808,0.1680
3.060,0.3103,0.2974,0.1677
3.080,0.3172,0.3029,0.1691
3.100,0.3164,0.3008,0.1703
3.120,0.2937,0.2829,0.1718
3.140,0.2892,0.2818,0.1744
3.160,0.2949,0.2854,0.1748
3.180,0.3000,0.2885,0.1756
3.200,0.2987,0.2879,0.1753
3.220,0.2977,0.2870,0.1751
3.240,0.2879,0.2799,0.1747
3.260,0.2903,0.2818,0.1754
3.280,0.2997,0.2876,0.1772
3.300,0.2882,0.2785,0.1767
3.320,0.2857,0.2757,0.1780
3.340,0.2900,0.2790,0.1780
3.360,0.3009,0.2867,0.1792
3.380,0.3063,0.2902,0.1795
3.400,0.3089,0.2912,0.1805
3.420,0.3037,0.2890,0.1816
3.440,0.3055,0.2895,0.1816
3.460,0.3065,0.2903,0.1816
3.480,0.2931,0.2804,0.1811
3.500,0.2969,0.2820,0.1807
3.520,0.2943,0.2798,0.1804
3.540,0.3049,0.2890,0.1804
3.560,0.2971,0.2836,0.1799
3.580,0.3006,0.2817,0.1795
3.600,0.3093,0.2797,0.1793
3.620,0.3114,0.2831,0.1791
3.640,0.3218,0.2863,0.1797
3.660,0.3128,0.2832,0.1791
3.680,0.3114,0.2827,0.1791
3.700,0.3002,0.2748,0.1778
3.720,0.3114,0.2813,0.1774
3.740,0.3130,0.2810,0.1764
3.760,0.3165,0.2848,0.1768
3.780,0.3139,0.2820,0.1761
3.800,0.3275,0.2892,0.1763
3.820,0.3367,0.2934,0.1771
3.840,0.3294,0.2898,0.1773
3.860,0.3333,0.2964,0.1771
3.880,0.3382,0.2970,0.1773
3.900,0.3290,0.2919,0.1760
3.920,0.3252,0.2864,0.1756
3.940,0.3347,0.2874,0.1746
3.960,0.3174,0.2823,0.1740
3.980,0.3203,0.2842,0.1728
4.000,0.3191,0.2834,0.1717
4.020,0.3251,0.2859,0.1713
4.040,0.3403,0.2966,0.1721
4.060,0.3304,0.2888,0.1727
4.080,0.3096,0.2729,0.1727
4.100,0.3010,0.2700,0.1723
4.120,0.2989,0.2705,0.1715
4.140,0.3073,0.2708,0.1716
4.160,0.3072,0.2695,0.1713
4.180,0.3136,0.2738,0.1705
4.200,0.3253,0.2803,0.1704
4.220,0.3123,0.2742,0.1704
4.240,0.2979,0.2606,0.1702
4.260,0.3081,0.2695,0.1698
4.280,0.3161,0.2753,0.1700
4.300,0.3138,0.2724,0.1696
4.320,0.3120,0.2703,0.1690
4.340,0.3145,0.2728,0.1688
4.360,0.3131,0.2716,0.1683
4.380,0.3264,0.2806,0.1686
4.400,0.3269,0.2806,0.1686
4.420,0.3208,0.2756,0.1683
4.440,0.3277,0.2841,0.1678
4.460,0.3187,0.2786,0.1677
4.480,0.3191,0.2737,0.1680
4.500,0.3085,0.2663,0.1681
4.520,0.2910,0.2586,0.1680
4.540,0.2655,0.2434,0.1677
4.560,0.2818,0.2410,0.1674
4.580,0.2808,0.2461,0.1674
4.600,0.3011,0.2512,0.1669
4.620,0.2839,0.2486,0.1663
4.640,0.2834,0.2485,0.1664
4.660,0.2806,0.2459,0.1657
4.680,0.2764,0.2457,0.1658
4.700,0.2776,0.2504,0.1659
4.720,0.2809,0.2507,0.1650
4.740,0.2844,0.2530,0.1643
4.760,0.2783,0.2463,0.1641
4.780,0.2887,0.2489,0.1637
4.800,0.2984,0.2548,0.1637
4.820,0.2851,0.2486,0.1641
4.840,0.2952,0.2561,0.1631
4.860,0.3032,0.2622,0.1625
4.880,0.2933,0.2552,0.1625
4.900,0.3005,0.2581,0.1625
4.920,0.3012,0.2553,0.1621
4.940,0.3109,0.2613,0.1621
4.960,0.3306,0.2704,0.1614
4.980,0.3185,0.2666,0.1613
5.000,0.3142,0.2686,0.1605
5.020,0.3222,0.2813,0.1610
5.040,0.3011,0.2681,0.1604
5.060,0.3072,0.2677,0.1588
5.080,0.2953,0.2619,0.1590
5.100,0.2881,0.2569,0.1588
5.120,0.2798,0.2489,0.1576
5.140,0.2812,0.2499,0.1573
5.160,0.2754,0.2466,0.1572
5.180,0.2757,0.2461,0.1570
5.200,0.2658,0.2401,0.1571
5.220,0.2694,0.2427,0.1559
5.240,0.2744,0.2476,0.1562
5.260,0.2730,0.2442,0.1558
5.280,0.2772,0.2447,0.1552
5.300,0.2751,0.2420,0.1556
5.320,0.2666,0.2376,0.1555
5.340,0.2743,0.2414,0.1561
5.360,0.2761,0.2456,0.1563
5.380,0.2729,0.2454,0.1565
5.400,0.2712,0.2490,0.1566
5.420,0.2719,0.2474,0.1567
5.440,0.2686,0.2405,0.1557
5.460,0.2619,0.2360,0.1561
5.480,0.2649,0.2348,0.1556
5.500,0.2679,0.2421,0.1550
5.520,0.2774,0.2486,0.1544
5.540,0.2956,0.2593,0.1538
5.560,0.3071,0.2686,0.1539
5.580,0.3092,0.2713,0.1541
5.600,0.2987,0.2554,0.1533
5.620,0.2793,0.2478,0.1534
5.640,0.2754,0.2462,0.1525
5.660,0.2770,0.2474,0.1523
5.680,0.2916,0.2485,0.1518
5.700,0.2944,0.2489,0.1519
5.720,0.2883,0.2411,0.1517
5.740,0.2971,0.2492,0.1506
5.760,0.2813,0.2419,0.1503
5.780,0.2838,0.2392,0.1489
5.800,0.2925,0.2510,0.1488
5.820,0.2877,0.2457,0.1486
5.840,0.2804,0.2427,0.1480
5.860,0.2864,0.2428,0.1476
5.880,0.2868,0.2433,0.1466
5.900,0.2917,0.2466,0.1465
5.920,0.2852,0.2402,0.1456
5.940,0.2881,0.2442,0.1449
5.960,0.2829,0.2369,0.1446
5.980,0.2594,0.2232,0.1445
6.000,0.2630,0.2247,0.1446
6.020,0.2746,0.2342,0.1438
6.040,0.2611,0.2227,0.1439
6.060,0.2516,0.2148,0.1434
6.080,0.2593,0.2215,0.1433
6.100,0.2739,0.2300,0.1431
6.120,0.2649,0.2238,0.1427
6.140,0.2598,0.2220,0.1425
6.160,0.2745,0.2324,0.1422
6.180,0.2728,0.2317,0.1420
6.200,0.2907,0.2451,0.1409
6.220,0.2763,0.2405,0.1398
6.240,0.2792,0.2357,0.1393
6.260,0.2869,0.2394,0.1393
6.280,0.2682,0.2305,0.1395
6.300,0.2653,0.2292,0.1391
6.320,0.2661,0.2245,0.1388
6.340,0.2731,0.2315,0.1387
6.360,0.2576,0.2155,0.1381
6.380,0.2513,0.2128,0.1382
6.400,0.2462,0.2140,0.1383
6.420,0.2534,0.2187,0.1384
6.440,0.2577,0.2254,0.1384
6.460,0.2510,0.2212,0.1385
6.480,0.2540,0.2233,0.1386
6.500,0.2553,0.2218,0.1381
6.520,0.2567,0.2163,0.1382
6.540,0.2646,0.2203,0.1386
6.560,0.2541,0.2188,0.1384
6.580,0.2541,0.2187,0.1388
6.600,0.2550,0.2201,0.1383
6.620,0.2504,0.2204,0.1382
6.640,0.2628,0.2237,0.1379
6.660,0.2571,0.2189,0.1374
6.680,0.2604,0.2216,0.1373
6.700,0.2568,0.2116,0.1369
6.720,0.2496,0.2030,0.1366
6.740,0.2499,0.2079,0.1365
6.760,0.2556,0.2089,0.1365
6.780,0.2621,0.2127,0.1363
6.800,0.2546,0.2155,0.1358
6.820,0.2622,0.2171,0.1354
6.840,0.2626,0.2169,0.1352
6.860,0.2569,0.2186,0.1353
6.880,0.2492,0.2167,0.1353
6.900,0.2544,0.2202,0.1354
6.920,0.2502,0.2148,0.1353
6.940,0.2471,0.2220,0.1352
6.960,0.2553,0.2187,0.1350
6.980,0.2604,0.2261,0.1349
7.000,0.2537,0.2331,0.1347
7.020,0.2642,0.2344,0.1346
7.040,0.2666,0.2420,0.1346
7.060,0.2545,0.2465,0.1348
7.080,0.2548,0.2488,0.1348
7.100,0.2543,0.2466,0.1347
7.120,0.2585,0.2394,0.1348
7.140,0.2409,0.2288,0.1347
7.160,0.2308,0.2261,0.1347
7.180,0.2321,0.2171,0.1350
7.200,0.2442,0.2270,0.1350
7.220,0.2447,0.2253,0.1348
7.240,0.2431,0.2237,0.1350
7.260,0.2513,0.2334,0.1352
7.280,0.2568,0.2367,0.1353
7.300,0.2530,0.2263,0.1354
7.320,0.2588,0.2311,0.1353
7.340,0.2795,0.2394,0.1353
7.360,0.2584,0.2365,0.1354
7.380,0.2422,0.2276,0.1351
7.400,0.2395,0.2259,0.1351
7.420,0.2484,0.2326,0.1350
7.440,0.2568,0.2365,0.1351
7.460,0.2360,0.2235,0.1353
7.480,0.2325,0.2201,0.1354
7.500,0.2363,0.2226,0.1353
7.520,0.2409,0.2211,0.1353
7.540,0.2331,0.2074,0.1351
7.560,0.2269,0.2088,0.1352
7.580,0.2273,0.2130,0.1354
7.600,0.2230,0.2003,0.1356
7.620,0.2186,0.1961,0.1356
7.640,0.2173,0.1907,0.1355
7.660,0.2250,0.1958,0.1356
7.680,0.2200,0.1926,0.1355
7.700,0.2287,0.1975,0.1355
7.720,0.2346,0.1972,0.1354
7.740,0.2337,0.2038,0.1355
7.760,0.2271,0.1937,0.1357
7.780,0.2264,0.1911,0.1357
7.800,0.2224,0.2030,0.1358
7.820,0.2310,0.2027,0.1360
7.840,0.2262,0.2214,0.1362
7.860,0.2342,0.2238,0.1364
7.880,0.2387,0.2227,0.1365
7.900,0.2292,0.2165,0.1368
7.920,0.2404,0.2208,0.1368
7.940,0.2351,0.2062,0.1369
7.960,0.2483,0.2252,0.1372
7.980,0.2431,0.2191,0.1374
8.000,0.2490,0.2238,0.1374
8.020,0.2484,0.2194,0.1376
8.040,0.2498,0.2175,0.1377
8.060,0.2484,0.2199,0.1378
8.080,0.2417,0.2137,0.1380
8.100,0.2406,0.2150,0.1379
8.120,0.2397,0.2141,0.1381
8.140,0.2387,0.2232,0.1382
8.160,0.2397,0.2194,0.1382
8.180,0.2394,0.2168,0.1384
8.200,0.2417,0.2220,0.1385
8.220,0.2437,0.2337,0.1386
8.240,0.2503,0.2503,0.1387
8.260,0.2605,0.2541,0.1387
8.280,0.2623,0.2649,0.1388
8.300,0.2732,0.2705,0.1389
8.320,0.2790,0.2741,0.1390
8.340,0.2657,0.2596,0.1392
8.360,0.2575,0.2515,0.1392
8.380,0.2590,0.2492,0.1396
8.400,0.2677,0.2617,0.1397
8.420,0.2647,0.2637,0.1402
8.440,0.2733,0.2751,0.1403
8.460,0.2895,0.2881,0.1405
8.480,0.2812,0.2795,0.1406
8.500,0.2719,0.2866,0.1408
8.520,0.2721,0.2949,0.1410
8.540,0.2659,0.2874,0.1414
8.560,0.2763,0.2836,0.1416
8.580,0.2825,0.2802,0.1416
8.600,0.2784,0.2884,0.1417
8.620,0.2833,0.2908,0.1420
8.640,0.2713,0.2865,0.1420
8.660,0.2788,0.2750,0.1420
8.680,0.2775,0.2811,0.1425
8.700,0.2726,0.2811,0.1425
8.720,0.2756,0.2958,0.1426
8.740,0.2808,0.3071,0.1430
8.760,0.2912,0.3185,0.1433
8.780,0.2825,0.3100,0.1436
8.800,0.2815,0.3065,0.1438
8.820,0.2717,0.2994,0.1438
8.840,0.2737,0.3029,0.1439
8.860,0.2830,0.3144,0.1442
8.880,0.2813,0.3131,0.1444
8.900,0.2727,0.3073,0.1447
8.920,0.2672,0.3070,0.1449
8.940,0.2707,0.3051,0.1450
8.960,0.2706,0.3000,0.1450
8.980,0.2704,0.2970,0.1450
9.000,0.2754,0.3103,0.1452
9.020,0.2767,0.3147,0.1455
9.040,0.2724,0.3131,0.1456
9.060,0.2720,0.3146,0.1457
9.080,0.2739,0.3180,0.1457
9.100,0.2814,0.3211,0.1457
9.120,0.2962,0.3426,0.1460
9.140,0.3036,0.3524,0.1462
9.160,0.3091,0.3424,0.1464
9.180,0.3034,0.3253,0.1466
9.200,0.2993,0.3182,0.1468
9.220,0.2957,0.3173,0.1470
9.240,0.3014,0.3207,0.1472
9.260,0.3027,0.3170,0.1472
9.280,0.3051,0.3210,0.1471
9.300,0.3088,0.3239,0.1471
9.320,0.3147,0.3379,0.1472
9.340,0.3148,0.3384,0.1474
9.360,0.3213,0.3398,0.1475
9.380,0.3114,0.3284,0.1475
9.400,0.3120,0.3274,0.1474
9.420,0.3200,0.3315,0.1475
9.440,0.3237,0.3359,0.1476
9.460,0.3258,0.3354,0.1476
9.480,0.3256,0.3401,0.1477
9.500,0.3192,0.3359,0.1479
9.520,0.3151,0.3405,0.1482
9.540,0.3121,0.3438,0.1484
9.560,0.3161,0.3395,0.1484
9.580,0.3083,0.3336,0.1485
9.600,0.3117,0.3304,0.1487
9.620,0.3190,0.3323,0.1488
9.640,0.3166,0.3258,0.1489
9.660,0.3121,0.3290,0.1490
9.680,0.3158,0.3349,0.1493
9.700,0.3122,0.3386,0.1494
9.720,0.3131,0.3451,0.1496
9.740,0.3165,0.3407,0.1496
9.760,0.3166,0.3342,0.1497
9.780,0.3169,0.3425,0.1499
9.800,0.3238,0.3446,0.1501
9.820,0.3348,0.3571,0.1502
9.840,0.3354,0.3477,0.1504
9.860,0.3272,0.3457,0.1507
9.880,0.3343,0.3584,0.1509
9.900,0.3355,0.3331,0.1511
9.920,0.3495,0.3268,0.1510
9.940,0.3584,0.3428,0.1512
9.960,0.3574,0.3323,0.1512
9.980,0.3469,0.3211,0.1512
10.000,0.3414,0.3155,0.1513
10.020,0.3375,0.3183,0.1513
10.040,0.3271,0.3172,0.1513
10.060,0.3302,0.3247,0.1515
10.080,0.3246,0.3173,0.1518
10.100,0.3225,0.3195,0.1521
10.120,0.3296,0.3016,0.1522
10.140,0.3287,0.3149,0.1525
10.160,0.3251,0.3253,0.1525
10.180,0.3231,0.3523,0.1526
10.200,0.3293,0.3481,0.1528
10.220,0.3252,0.3122,0.1530
10.240,0.3272,0.3189,0.1530
10.260,0.3336,0.3134,0.1532
10.280,0.3351,0.3299,0.1532
10.300,0.3318,0.3301,0.1534
10.320,0.3256,0.3174,0.1537
10.340,0.3213,0.3100,0.1541
10.360,0.3245,0.3022,0.1541
10.380,0.3350,0.3003,0.1544
10.400,0.3273,0.3127,0.1545
10.420,0.3320,0.3089,0.1547
10.440,0.3411,0.3112,0.1546
10.460,0.3429,0.3110,0.1549
10.480,0.3398,0.3076,0.1550
10.500,0.3422,0.3088,0.1551
10.520,0.3422,0.3196,0.1553
10.540,0.3480,0.3156,0.1556
10.560,0.3438,0.3165,0.1559
10.580,0.3529,0.3115,0.1560
